commentID,commentTitle,commentBody,approveDate,recommendationCount,display_name,location,commentQuestion,commentSequence,status,articleURL,editorsSelection,in_study
408875,NULL,"How about insurance so when they get injured for life making millions of dollars for their school, they'll at least not have to worry about being bankrupted by medical bills?",2014-03-26 17:27:02,130,David,,NULL,11426861,approved,http://www.nytimes.com/2014/03/27/sports/ncaafootball/national-labor-relations-board-rules-northwestern-players-are-employees-and-can-unionize.html,1,1
181493,NULL,"Another example of the attack on the rule of law and lawyers by our Constitutional Scholar in Chief.  I am sure Senator Obama would have had something to say in opposition to this but, alas, Senator Obama has morphed into President Obama.",2014-02-16 11:51:34,17,Tony,,NULL,11174826,approved,http://www.nytimes.com/2014/02/16/us/eavesdropping-ensnared-american-law-firm.html,0,1
79830,NULL,"Refusing to provide drugs of a certain kind is not an effective tactic in forcing states to abandon the death penalty. First of all, put yourself in the perspective of a pro-death-penalty person. Domestic drug companies now refuse to supply the drug you need, and EU countries refuse to export it. Is the *inconvenience* of having to find another drug or another method of execution going to stop you from executing people? Or is it going to further your resolve to do what you think is right despite the interference from these outsiders?<br/><br/>Second, the people actually administering the death penalty have no choice: the legislature has made the death penalty legal and a court has imposed the death penalty--so unless you take away every legal means of carrying out that execution, they're still compelled by law to do it.",2014-01-30 09:38:44,4,Joe,,NULL,11053683,approved,http://www.nytimes.com/2014/01/30/opinion/secrecy-behind-executions.html,1,1
410946,NULL,"Ivory is cut up and used to make items, repairs, etc. Thus the serial number would remain on one piece and not the other pieces. Thus by your suggestion rendering them illegal to possess. It's a far more complex problem unfortunately.",2014-03-27 06:42:06,4,Joe Sabin,,NULL,11430159,approved,http://www.nytimes.com/2014/03/27/opinion/the-wrong-way-to-protect-elephants.html,0,1
212688,NULL,"This article describes a slippery slope.  Even the title is provocative.  As a physician, I can categorically say that I have never lied to my patients, ever.  Part of the art of medicine is to how best to explain the diagnoses, treatment and prognoses of a patient's conditions that gives the patient a fair assessment of his or her situation but also reasonable hope for the future (including planning for one's death).  Nobody said that it was easy.  The principles of medical ethics (beneficence, non-maleficence, autonomy, justice) means that we need to consider the risks vs. benefits of the approach that we take.  If a physician is truly worried about possible self-harm due to a patient knowing the truth, I would suggest consultation with a psychiatrist, the physicians who are the experts on these issues and who may be able to offer treatment as indicated.<br/><br/>The bottom line is that lying to patients is a losing proposition.  It essentially breaks trust and makes all future interactions suspect in the patient's and/or physician's mind.  As for the specific case of the young man in this article, ultimately the truth was told to him, but nobody said that it would be easy.",2014-02-23 07:40:05,119,Arif,,NULL,11212209,approved,http://www.nytimes.com/2014/02/23/opinion/sunday/when-doctors-need-to-lie.html,1,1
86257,NULL,"The irony is that there are no good investments because the investing class demands low taxes, and so governments cut funding for basic science, education, the arts, infrastructure and other projects that could connect the people who can build new industries that are worth investing in. <br/><br/>We have all these dollars chasing the next big thing, so you have fraudsters out there willing to suck up money for worthless projects. How is that any better than government waste or another Solyndra? It has been shown that government research can spark whole new technologies. We know that we need to educate our children to be able to take on the future. But somehow we can agree to make the investment in that. So much better for the investing class to spend their money on fancy tulips.",2014-01-31 10:47:41,2,A. M. Garrett,,NULL,11061309,approved,http://www.nytimes.com/2014/01/31/opinion/krugman-talking-troubled-turkey.html,0,1
251991,NULL,"This is a start, and I see nothing  wrong with it.  However, it's clear that young men in general are falling behind in terms of education, earning power and basic employment. If this broad problem isn't addressed, the President's new initiative will have but a small effect on the achievement and wealth gap. The elephant in the room is employment. What do we expect and/or want young men and women to do? Be doctors? Lawyers? Software engineers? That's a very limited percentage of the working population, and the President himself has noted that college may not be the answer for many young people looking to plug into the workforce for the long haul. Racism is very real and it has very real effects. But  let's look at the big picture as well. Non-military national  youth service requirements could go a long way toward creating a more equitable, more harmonious society. Getting big hitters to think about how to shape a 21st century economy that works for the broad swath of people would help all young men and all young women as well. Furthermore, why not make the promise to establish an in-house mentoring programs a pre-requisite for winning significant government contracts? Theoretically, our business leaders believe in the future<br/>of big-A America. Let's have them prove it by helping more young men and women get a legitimate shot at the American dream.<br/>get ",2014-02-28 14:22:19,3,Ed,,NULL,11249566,approved,http://www.nytimes.com/2014/02/28/us/politics/obama-will-announce-initiative-to-empower-young-black-men.html,1,1
178362,NULL,"Florida will change its infamous “stand-your-ground” tentacles when resulting horrors begin to effect its States’ pocketbook.  These recently reported international gun trials, where an innocent is killed for walking in their neighborhood, texting in a movie theatre and now playing (loud) music in one’s car, eventually will become too much even for Disney World tourists’.<br/>This Jacksonville defendant’s defense trial demonstrated what is tactically the safe proclamation for the shooter after a killing:  you felt your life threatened and believed the (soon to be victim) had a weapon.  How can you deny what a person says was in their mind; truth serum?  But recall even in the Wild West, liability for, killing an unarmed man was not excused based upon that shooter’s imagination.  The gallows were the ultimate arbiters for that determination.",2014-02-15 21:45:05,58,parik,,NULL,11171437,approved,http://www.nytimes.com/2014/02/16/us/florida-killing-over-loud-music.html,0,1
116836,NULL,"It's too bad that business wants to control people's lives by denying them access to quality healthcare if they are unemployed.  It's not right to require employees to work full-time at jobs they don't even like so that they can attain quality healthcare.  Then when business decides to drop an employee, there goes their access to healthcare.  That seems rather totalitarian to me.  Their are some things that should be accessible to everyone at all times.  Quality healthcare is one of those things. ",2014-02-04 20:37:59,81,Greg,,NULL,11097002,approved,http://www.nytimes.com/2014/02/05/us/politics/budget-office-revises-estimates-of-health-care-enrollment.html,1,1
238041,NULL,"Thank you for framing the issue in this way. I've long believed that I have the right to walk about in the public square without fear of being randomly massacred by someone with a high-capacity gun. I'm tired of hearing about the ""rights"" of people to openly carry their weapons anywhere they so desire. I will walk, if not run, from any establishment in which I see this behavior, and I won't return - ever.",2014-02-26 11:48:14,9,Kimberly,,NULL,11232399,approved,http://www.nytimes.com/2014/02/26/opinion/bittman-rethinking-our-rights-to-dangerous-behaviors.html,0,1
